StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,t.intro_First Click,t.intro_Last Click,t.intro_Page Submit,t.intro_Click Count,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,field,field_14_TEXT,prior_research,research_morality,research_culturalpsy,education,education_4_TEXT,position,position_8_TEXT,institution_type,institution_type_5_TEXT,country,moral_to_wis_agree,wis_to_moral_agree,morality_wis_analogy,moral_wis_comments,wis_psych_char,wisdomModelFamiliar,model_agreement,model_disagree,wisdom_culture,t.universals_First Click,t.universals_Last Click,t.universals_Page Submit,t.universals_Click Count,universals_sorting_0_GROUP,universals_sorting_1_GROUP,universals_sorting_2_GROUP,universals_sorting_3_GROUP,universals_sorting_0_1_RANK,universals_sorting_0_2_RANK,universals_sorting_0_3_RANK,universals_sorting_0_4_RANK,universals_sorting_0_5_RANK,universals_sorting_0_6_RANK,universals_sorting_0_7_RANK,universals_sorting_0_8_RANK,universals_sorting_0_9_RANK,universals_sorting_0_10_RANK,universals_sorting_0_11_RANK,universals_sorting_0_12_RANK,universals_sorting_0_13_RANK,universals_sorting_0_14_RANK,universals_sorting_0_15_RANK,universals_sorting_0_16_RANK,universals_sorting_0_17_RANK,universals_sorting_1_1_RANK,universals_sorting_1_2_RANK,universals_sorting_1_3_RANK,universals_sorting_1_4_RANK,universals_sorting_1_5_RANK,universals_sorting_1_6_RANK,universals_sorting_1_7_RANK,universals_sorting_1_8_RANK,universals_sorting_1_9_RANK,universals_sorting_1_10_RANK,universals_sorting_1_11_RANK,universals_sorting_1_12_RANK,universals_sorting_1_13_RANK,universals_sorting_1_14_RANK,universals_sorting_1_15_RANK,universals_sorting_1_16_RANK,universals_sorting_1_17_RANK,universals_sorting_2_1_RANK,universals_sorting_2_2_RANK,universals_sorting_2_3_RANK,universals_sorting_2_4_RANK,universals_sorting_2_5_RANK,universals_sorting_2_6_RANK,universals_sorting_2_7_RANK,universals_sorting_2_8_RANK,universals_sorting_2_9_RANK,universals_sorting_2_10_RANK,universals_sorting_2_11_RANK,universals_sorting_2_12_RANK,universals_sorting_2_13_RANK,universals_sorting_2_14_RANK,universals_sorting_2_15_RANK,universals_sorting_2_16_RANK,universals_sorting_2_17_RANK,universals_sorting_3_1_RANK,universals_sorting_3_2_RANK,universals_sorting_3_3_RANK,universals_sorting_3_4_RANK,universals_sorting_3_5_RANK,universals_sorting_3_6_RANK,universals_sorting_3_7_RANK,universals_sorting_3_8_RANK,universals_sorting_3_9_RANK,universals_sorting_3_10_RANK,universals_sorting_3_11_RANK,universals_sorting_3_12_RANK,universals_sorting_3_13_RANK,universals_sorting_3_14_RANK,universals_sorting_3_15_RANK,universals_sorting_3_16_RANK,universals_sorting_3_17_RANK,wis_moral_articles,socio_poli_articles,comments,moral_wis_comments - Topics,moral_wis_comments - Parent Topics
8/4/2021 10:53,8/4/2021 11:37,IP Address,99.35.189.221,70,2628,FALSE,8/4/2021 12:37,R_1Kx9ADaEBDxI2m5,,,,,,,anonymous,EN,0,0,1924.005,0,Chrome,92.0.4515.131,Windows NT 10.0,1600x900,"Social Psychology,Developmental Psychology",,No,No,No,PhD,,Professor,,University,,USA,"Morality is relevant for wisdom,Morality is a precursor for wisdom,Morality is necessary for wisdom","Wisdom is relevant for morality,Wisdom is necessary for morality",Have not thought about this extensively.,,Have not thought about this.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021 10:53,8/4/2021 12:58,IP Address,88.235.187.1,100,7499,TRUE,8/4/2021 12:58,R_1FIH7xBsgynwAX4,,,,,41.0196991,28.97569275,anonymous,EN,0,0,21.417,0,Firefox,90,Windows NT 10.0,1536x864,"Social Psychology,Developmental Psychology,Evolutionary Psychology,Moral Psychology",,No,Yes,Yes,PhD,,Retired,,University,,Turkey,"Morality is relevant for wisdom,Morality is necessary for wisdom",Wisdom is relevant for morality,literature is to writing,"'- to function in society an individual needs to be able to make moral judgments, including on his/her own behavior, while the individual can function socially at a basic level with little wisdom; - wisdom requires a wider range of experience and reflection than morality; - wisdom requires more complex cognitive processes, particularly integrative processes, than moral judgment or the experience of moral emotions, whether self-blaming or other-blaming; - all personality types (except perhaps sociopathic) employ some form of morality, while it seems likely to me that wisdom requires more particular personality traits; How I construe morality: as dependent on a set of evolutionarily selected capacities and tendencies which on average operate to benefit the individual's group; and also as dependent on social experience accumulated in the course of development, including instruction and example, manifested in different forms (e.g., care, justice. purity, authority) depending on the context and focus.  My understanding of morality draws on numerous sources, including Hamilton, Trivers, DS Wilson, Shweder, Haidt & coauthors, AP Fiske, Rai, Curry, and others","I am not sure that ""psychological characteristics of wisdom"" can be said to ""depend"" on moral intentions or actions.  Moral intentions and actions could just as well depend on some of the psychological characteristics of wisdom.  However, I believe they are related.  The basic aim of morality is to maintain the group, which is the ground of the individual's existence, by promoting cooperation (care, fairness, loyalty, etc.) and discouraging conflict. Wisdom (to me) implies concern for the whole and attention to balance; thus it needs to use all the tools of morality, but with a wider awareness than is needed to judge particular actions or behaviors, while at the same time maintaining sensitivity to individual welfare.",No,,,"As with other psychological characteristics, wisdom will take different specific forms in different cultures, but just as wisdom can be seen as using ""meta"" cognitive processes, it probably also has pan-cultural characteristics.  The relatively broader perspective , the relatively reduced self-concern, and the equalitarian benevolence of the wise person could be expected to manifest themselves and be recognized as wisdom in widely varying cultures.",32.067,3368.205,3466.964,3,Declarative (book) knowledge,"Realization of shared humanity,Seeking Insight /Meaning,Experiential knowledge,Uncertainty management","Pursuit of truth,Humor,Context-sensitivity","Self-transcendence,Open-mindedness/Consideration of diverse perspectives,In-group cooperation,Deliberation/Reflection,Self-compassion,Sympathy/compassion,Balance of diverse interests,Epistemic humility/Recognition of limits of knowledge & one's fallibility,Equanimity/Self-control",,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,3,4,,2,,,,,,3,,,,1,,,,,,,,,2,8,2,9,,1,4,,,3,6,7,,,,,5,,,,,Unknown,
8/4/2021 12:22,8/4/2021 12:33,IP Address,68.134.180.100,73,644,FALSE,8/4/2021 13:33,R_bNIV92skSjtreWl,,,,,,,anonymous,EN,0,0,2.294,0,Safari,14.0.3,Macintosh,1440x900,Social Psychology,,Yes,Yes,Yes,Other,undergrad,Undergraduate student,,University,,USA,Morality is relevant for wisdom,Wisdom is relevant for morality,Siblings are to each other.,"Wisdom comes from learning combined with life experience; morality is largely construed by social mores; The two are related, but separate.  It is possible to be wise, and immoral, and moral, but unwise. ","Largely dependent upon intentions. If someone is conscious enough of their intentions to outline a plan of action, then they are thinking ahead and planning with the wisdom they have gained.  Actions, if planned, are also largely dependent upon the wisdom we have gained.  However, in reality, many people behave too unconsciously to be so deliberate.  Therefore, I would suggest that intentionality is more dependent up on wisdom characteristics than actual, real life actions. ",No,,,"Closely interconnected.  Culture, defines what is or is not appropriate behavior, life goals, and even thought processes. The socialization we receive as we grow means that our culture drives how we envision wisdom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,
8/4/2021 13:28,8/4/2021 13:51,IP Address,149.62.205.22,100,1348,TRUE,8/4/2021 13:51,R_3fq4TVYfv2O7kzh,,,,,42.69509888,23.32499695,anonymous,EN,98.407,99.919,103.172,2,Chrome,92.0.4515.107,Windows NT 10.0,1536x864,Social Psychology,,Yes,Yes,Yes,PhD,,Professor,,University,,Bulgaria,Morality is relevant for wisdom,Wisdom is relevant for morality,Science to application,"Morality and wisdom could exist independently, but when they are present in the same person, they express a different point of view that is favourable both for society and oneself.",Moral intentions or actions may focus wisdom on benefitting oneself and society,No,,,"Culture determines the framework for values, norms, and viewpoints",6.378,56.561,101.316,4,Realization of shared humanity,"Epistemic humility/Recognition of limits of knowledge & one's fallibility,Humor,In-group cooperation,Uncertainty management,Equanimity/Self-control","Open-mindedness/Consideration of diverse perspectives,Balance of diverse interests","Sympathy/compassion,Seeking Insight /Meaning,Context-sensitivity,Declarative (book) knowledge,Experiential knowledge,Deliberation/Reflection,Pursuit of truth,Self-compassion,Self-transcendence",,,,,,,1,,,,,,,,,,,1,,5,,,,,,3,,,,4,,,,2,,1,,,,,,,,,2,,,,,,,,,,3,9,6,,7,,1,,5,,4,2,8,,,,,Unknown,
8/4/2021 13:28,8/4/2021 14:05,IP Address,69.174.157.29,100,2235,TRUE,8/4/2021 14:05,R_1FhL3qJZkUQcell,,,,,40.44439697,-86.92559814,anonymous,EN,0,0,14.495,0,Safari,14.1.1,Macintosh,1920x1080,"Social Psychology,Other",Industrial Organizational Psychology/Organizational Behavior,No,No,Yes,Other,PhD Student,Graduate student,,University,,USA,Morality is relevant for wisdom,Wisdom is relevant for morality,,,Morality influences the assumptions we base wisdom on when making  decisions.  morality essentially sets the boundaries around what is an acceptable or unacceptable solution to a problem and an implicit  ranking of these values against each other.  Wisdom functions like the superego when we have to balance good and bad factors. ,No,,,"Culture influences morality.  For example the perception of blood as ""unclean"" in jewish and islamic contexts evolved from a lack of understanding of germ theory that was balanced with a concept of purity.  This extends to the role of animals and food choices such as pigs.  During early civilization, humans didn't understand that the animal should have been washed before breaking the skin barrier in butchering (also consider lack of water in desert settings).  In Afghanistan among the Pashtun culture, there I a story of a man who had a pig run into his home and people were trying to capture it.  The homeowner said that the pig, undesirable as it was should be considered a guest which invoked the higher order moral values of pashtunwali (loosely translated to hospitality in this case).  As a guest, the homeowner was obligated to provide asylum for the animal even if it cost him his own life.  You can see this value play out in today's culture with a story of US Navy SEAL Marcus Luttrell who has his entire team killed and made his way into an Afghan home and invoked the same value to encourage them to provide for his safety until he could escape. ",12.737,280.133,341.151,6,"Declarative (book) knowledge,Experiential knowledge,Epistemic humility/Recognition of limits of knowledge & one's fallibility,Realization of shared humanity,Seeking Insight /Meaning","Self-transcendence,Deliberation/Reflection,Context-sensitivity","Balance of diverse interests,Pursuit of truth,Humor,Open-mindedness/Consideration of diverse perspectives,Equanimity/Self-control","Uncertainty management,Sympathy/compassion,In-group cooperation,Self-compassion",3,,,,,,4,,,,,2,,1,5,,,,,,3,1,2,,,,,,,,,,,,,4,5,,,,,2,,,1,,,,,,3,,,,,,,,,3,2,,,1,,,4,,,,,,
8/4/2021 13:16,8/4/2021 13:17,IP Address,204.109.15.233,70,92,FALSE,8/4/2021 14:17,R_vHOhizRzcr7UAtb,,,,,,,anonymous,EN,0,0,1.28,0,Chrome,92.0.4515.107,Windows NT 10.0,1920x1080,Social Psychology,,Yes,Yes,No,PhD,,Assistant Professor,,University,,USA,"Morality is relevant for wisdom,Morality is a precursor for wisdom",,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021 13:39,8/4/2021 13:42,IP Address,63.224.59.222,50,139,FALSE,8/4/2021 14:42,R_2B42lbwRTpE3ehM,,,,,,,anonymous,EN,0,0,7.981,0,Firefox,90,Macintosh,1440x900,"Clinical Psychology,Quantitative Psychology,Virtue ethics,Moral philosophy",,No,Yes,Yes,Masters,,Graduate student,,University,,United States,"Morality is relevant for wisdom,Morality is necessary for wisdom","Wisdom is relevant for morality,Wisdom is a precursor for morality,Wisdom is necessary for morality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021 13:37,8/4/2021 13:54,IP Address,213.205.240.11,80,1002,FALSE,8/4/2021 14:54,R_1dgF3eO56e49qFR,,,,,,,anonymous,EN,23.509,23.509,63.535,1,Edge,91.0.864.71,Windows NT 10.0,1920x1080,"Cognitive Psychology,Clinical Psychology,Developmental Psychology,Personality Psychology,Other",Cognitive Neuroscience,Yes,Yes,Yes,PhD,,Associate Professor,,University,,United Kingdom,Morality is relevant for wisdom,Wisdom is relevant for morality,Grass is to trees,,"Wisdom does not depend on either of these, but is weighing up of intentions and can sometimes be demonstrated by action ",No,,,"Culture has many levels, and any individual is affected by many cultures. Its unclear here what precisely is meant. We are a product of our culture and many values stem from culture, but wisdom reflects the discernment of values not the values per se. Cultures also support our education which influence wisdom, but is not wisdom per se. Wisdom is knowing which cultures to listen to. ",0,0,56.469,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021 13:52,8/4/2021 13:55,IP Address,149.62.205.22,60,174,FALSE,8/4/2021 14:55,R_1Lciz27Ae6SaQ8r,,,,,,,anonymous,EN,104.916,104.916,110.871,1,Chrome,92.0.4515.107,Windows NT 10.0,1536x864,,,,,,,,,,,,BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021 13:56,8/4/2021 13:59,IP Address,37.208.178.71,80,192,FALSE,8/4/2021 14:59,R_1Cd0hiUwT7FWITp,,,,,,,anonymous,EN,2.354,2.354,3.396,1,Chrome iPhone,92.0.4515.90,iPhone,414x736,Social Psychology,,No,No,No,Masters,,Other,Research Associate ,Other,Doha Institute for Graduate Studies ,Qatar ,Morality is relevant for wisdom,Wisdom is relevant for morality,,,,No,,,,1.422,3.858,5.444,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
